state,year,Month,Unemployed_prct
Alabama,1978,1,6.5
Alaska,1978,1,10.8
Arizona,1978,1,6.8
Arkansas,1978,1,6.2
California,1978,1,7.6
Los Angeles County,1978,1,7.5
Colorado,1978,1,6.1
Connecticut,1978,1,5.8
Delaware,1978,1,7.6
District of Columbia,1978,1,8.7
Florida,1978,1,7
Georgia,1978,1,5.8
Hawaii,1978,1,7.6
Idaho,1978,1,5.3
Illinois,1978,1,6.3
Indiana,1978,1,5.8
Iowa,1978,1,3.9
Kansas,1978,1,3.5
Kentucky,1978,1,5
Louisiana,1978,1,7.7
Maine,1978,1,7
Maryland,1978,1,5.8
Massachusetts,1978,1,6.7
Michigan,1978,1,7.2
Minnesota,1978,1,4.2
Mississippi,1978,1,7.2
Missouri,1978,1,5.6
Montana,1978,1,6.5
Nebraska,1978,1,3.8
Nevada,1978,1,4.8
New Hampshire,1978,1,4.4
New Jersey,1978,1,7.8
New Mexico,1978,1,6.1
New York,1978,1,8.3
New York city,1978,1,9.7
North Carolina,1978,1,5
North Dakota,1978,1,4.4
Ohio,1978,1,5.7
Oklahoma,1978,1,4.2
Oregon,1978,1,5.7
Pennsylvania,1978,1,7.3
Rhode Island,1978,1,7.3
South Carolina,1978,1,6
South Dakota,1978,1,3
Tennessee,1978,1,5.8
Texas,1978,1,5.1
Utah,1978,1,4.4
Vermont,1978,1,6.1
Virginia,1978,1,5.4
Washington,1978,1,7
West Virginia,1978,1,6.8
Wisconsin,1978,1,4.9
Wyoming,1978,1,3
Alabama,1978,2,6.4
Alaska,1978,2,11
Arizona,1978,2,6.6
Arkansas,1978,2,6.1
California,1978,2,7.5
Los Angeles County,1978,2,7.5
Colorado,1978,2,6
Connecticut,1978,2,5.5
Delaware,1978,2,7.6
District of Columbia,1978,2,8.6
Florida,1978,2,6.9
Georgia,1978,2,5.6
Hawaii,1978,2,7.5
Idaho,1978,2,5.2
Illinois,1978,2,6.3
Indiana,1978,2,5.7
Iowa,1978,2,3.9
Kansas,1978,2,3.4
Kentucky,1978,2,5.1
Louisiana,1978,2,7.6
Maine,1978,2,6.7
Maryland,1978,2,5.6
Massachusetts,1978,2,6.5
Michigan,1978,2,7
Minnesota,1978,2,4.1
Mississippi,1978,2,7.1
Missouri,1978,2,5.5
Montana,1978,2,6.4
Nebraska,1978,2,3.7
Nevada,1978,2,4.6
New Hampshire,1978,2,4.2
New Jersey,1978,2,7.6
New Mexico,1978,2,6
New York,1978,2,8.1
New York city,1978,2,9.6
North Carolina,1978,2,4.8
North Dakota,1978,2,4.3
Ohio,1978,2,5.6
Oklahoma,1978,2,4.2
Oregon,1978,2,5.6
Pennsylvania,1978,2,7.2
Rhode Island,1978,2,7.1
South Carolina,1978,2,5.9
South Dakota,1978,2,2.9
Tennessee,1978,2,5.8
Texas,1978,2,5
Utah,1978,2,4.2
Vermont,1978,2,6
Virginia,1978,2,5.4
Washington,1978,2,6.8
West Virginia,1978,2,6.6
Wisconsin,1978,2,4.9
Wyoming,1978,2,2.9
Alabama,1978,3,6.2
Alaska,1978,3,11
Arizona,1978,3,6.4
Arkansas,1978,3,6
California,1978,3,7.5
Los Angeles County,1978,3,7.5
Colorado,1978,3,5.9
Connecticut,1978,3,5.4
Delaware,1978,3,7.5
District of Columbia,1978,3,8.5
Florida,1978,3,6.8
Georgia,1978,3,5.6
Hawaii,1978,3,7.3
Idaho,1978,3,5.1
Illinois,1978,3,6.3
Indiana,1978,3,5.7
Iowa,1978,3,3.9
Kansas,1978,3,3.3
Kentucky,1978,3,5
Louisiana,1978,3,7.5
Maine,1978,3,6.5
Maryland,1978,3,5.5
Massachusetts,1978,3,6.4
Michigan,1978,3,6.9
Minnesota,1978,3,4
Mississippi,1978,3,7.1
Missouri,1978,3,5.4
Montana,1978,3,6.2
Nebraska,1978,3,3.6
Nevada,1978,3,4.4
New Hampshire,1978,3,4.1
New Jersey,1978,3,7.4
New Mexico,1978,3,5.9
New York,1978,3,8
New York city,1978,3,9.4
North Carolina,1978,3,4.6
North Dakota,1978,3,4.3
Ohio,1978,3,5.5
Oklahoma,1978,3,4
Oregon,1978,3,5.6
Pennsylvania,1978,3,7.1
Rhode Island,1978,3,6.9
South Carolina,1978,3,5.8
South Dakota,1978,3,2.9
Tennessee,1978,3,5.7
