"","st","district","avg","dem_votes_major_percent","rep_votes_major_percent","winner_party","rep_status","dem_status","party","pred","poll","year"
"1","AR",1,7,29.44,70.56,"R","Incumbent","Challenger","DEM","R",22,2018
"2","AR",1,7,29.44,70.56,"R","Incumbent","Challenger","REP","R",57,2018
"3","AR",1,7,29.44,70.56,"R","Incumbent","Challenger","LIB","R",3,2018
"4","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","DEM","R",48,2018
"5","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","REP","R",48,2018
"6","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","DEM","R",47,2018
"7","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","REP","R",47,2018
"8","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","DEM","R",45.5,2018
"9","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","REP","R",46,2018
"10","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","DEM","R",48,2018
"11","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","REP","R",48,2018
"12","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","DEM","R",48,2018
"13","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","REP","R",46,2018
"14","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","DEM","R",46,2018
"15","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","REP","R",50,2018
"16","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","DEM","R",46,2018
"17","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","REP","R",47.5,2018
"18","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","DEM","R",43,2018
"19","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","REP","R",50,2018
"20","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","DEM","R",39.5,2018
"21","AR",2,5.66666666666667,46.78,53.22,"R","Incumbent","Challenger","REP","R",51.5,2018
